epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.1,1.1018,2.79239,1.44083,0.33771,0.34947,0.40618,0.27476,1.1687,3.19869,1.55024,0.0003636,0.0003636,0.0003636
2,4109.17,1.18552,2.04351,1.50674,0.72002,0.23086,0.31454,0.17205,1.56282,3.97269,2.1579,0.000661274,0.000661274,0.000661274
3,5880.75,1.24088,1.90437,1.56376,0.36533,0.30738,0.29229,0.15763,1.63012,2.93931,2.09866,0.000885622,0.000885622,0.000885622
4,7222.54,1.26793,1.90044,1.58366,0.33066,0.3393,0.291,0.17591,1.58996,2.76474,1.95647,0.000781033,0.000781033,0.000781033
5,8678.49,1.21057,1.72929,1.52766,0.45491,0.33048,0.32969,0.20501,1.47375,2.44445,1.88118,0.000671044,0.000671044,0.000671044
6,12285.1,1.14696,1.52442,1.48481,0.55068,0.44555,0.4821,0.31692,1.40875,1.99656,1.73864,0.000561055,0.000561055,0.000561055
7,13515.8,1.05536,1.33473,1.39697,0.56162,0.52236,0.49665,0.35193,1.27089,1.76143,1.63622,0.000451066,0.000451066,0.000451066
8,15143.8,0.97976,1.17069,1.33915,0.66092,0.48778,0.53597,0.39659,1.24805,1.75074,1.61525,0.000341077,0.000341077,0.000341077
9,16735.9,0.90642,1.01772,1.28194,0.71081,0.47156,0.54675,0.3974,1.19429,1.65245,1.56133,0.000231088,0.000231088,0.000231088
10,19484.7,0.84324,0.86739,1.2235,0.64079,0.56844,0.59675,0.44316,1.17216,1.50338,1.53056,0.000121099,0.000121099,0.000121099
